City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,Pisco,-13.7,-76.2167,62.65,72,0,6.91,PE,2022-09-14 23:43:09
212,Uran,18.8769,72.9397,80.56,85,100,19.66,IN,2022-09-14 23:43:09
213,Sterling,39.0062,-77.4286,74.91,71,0,8.99,US,2022-09-14 23:43:10
214,Georgetown,5.4112,100.3354,80.53,87,20,3.44,MY,2022-09-14 23:43:10
215,Chuy,-33.6971,-53.4616,50.61,95,1,6.31,UY,2022-09-14 23:43:10
216,Hobyo,5.3505,48.5268,76.8,86,48,22.88,SO,2022-09-14 23:43:11
217,Vao,-22.6667,167.4833,69.15,70,22,10.54,NC,2022-09-14 23:43:11
218,Shirokovskiy,58.8424,57.7832,48.96,78,100,4.25,RU,2022-09-14 23:43:12
219,Xianyang,34.3378,108.7026,67.24,72,72,8.95,CN,2022-09-14 23:43:13
220,Kaeo,-35.1,173.7833,64.33,65,3,1.34,NZ,2022-09-14 23:43:13
221,Salalah,17.0151,54.0924,78.89,94,100,6.91,OM,2022-09-14 23:43:14
222,Cockburn Town,21.4612,-71.1419,84.16,65,40,11.5,TC,2022-09-14 23:43:14
223,Ghanzi,-21.5667,21.7833,62.46,44,0,12.59,BW,2022-09-14 23:43:14
224,Kloulklubed,7.0419,134.2556,84.7,70,100,9.06,PW,2022-09-14 23:43:15
225,Antalaha,-14.9003,50.2788,66.0,80,48,8.63,MG,2022-09-14 23:43:15
226,Belmonte,-15.8631,-38.8828,73.09,89,0,10.29,BR,2022-09-14 23:44:16
227,Rzhev,56.2624,34.3282,47.86,97,100,3.98,RU,2022-09-14 23:44:16
228,Caravelas,-17.7125,-39.2481,73.49,85,0,10.71,BR,2022-09-14 23:44:17
229,Faya,18.3851,42.4509,66.31,55,40,2.53,SA,2022-09-14 23:44:17
230,Thinadhoo,0.5333,72.9333,81.19,71,88,3.56,MV,2022-09-14 23:44:18
231,Deep River,46.1001,-77.4995,53.35,55,78,9.04,CA,2022-09-14 23:40:38
232,Eirunepe,-6.6603,-69.8736,79.27,70,81,2.17,BR,2022-09-14 23:44:18
233,Rabo De Peixe,37.8,-25.5833,77.27,86,75,9.22,PT,2022-09-14 23:44:19
234,Santa Lucia,27.9117,-15.5407,67.32,73,20,16.11,ES,2022-09-14 23:44:19
235,Atasu,48.6814,71.6433,42.39,57,2,8.48,KZ,2022-09-14 23:44:20
236,Cabo San Lucas,22.8909,-109.9124,89.62,74,12,5.68,MX,2022-09-14 23:41:55
237,Port-Gentil,-0.7193,8.7815,76.96,88,40,10.36,GA,2022-09-14 23:44:21
238,Nagato,34.3833,131.2,81.18,78,25,3.02,JP,2022-09-14 23:44:21
239,Yakeshi,49.2833,120.7333,65.82,42,87,4.29,CN,2022-09-14 23:44:22
240,Mokhsogollokh,61.4681,128.9203,43.65,78,64,9.62,RU,2022-09-14 23:44:22
241,Vanavara,60.34,102.2797,38.39,93,75,2.51,RU,2022-09-14 23:44:22
242,Taldan,53.6667,124.8,46.42,70,100,2.48,RU,2022-09-14 23:44:23
243,Asau,46.4333,26.4,60.28,67,99,6.4,RO,2022-09-14 23:44:23
244,Tynda,55.1667,124.7167,41.88,67,100,2.82,RU,2022-09-14 23:44:24
245,Puerto Madero,14.7208,-92.4215,77.2,100,100,5.75,MX,2022-09-14 23:44:24
246,Erenhot,43.6475,111.9767,70.05,32,73,5.59,CN,2022-09-14 23:44:25
247,Two Hills,53.7169,-111.7518,70.29,43,0,5.75,CA,2022-09-14 23:44:25
248,Shimoda,34.6667,138.95,75.56,76,97,15.48,JP,2022-09-14 23:44:25
249,Floriano,-6.7669,-43.0225,84.52,25,45,3.22,BR,2022-09-14 23:44:26
250,Rocha,-34.4833,-54.3333,46.51,92,0,1.72,UY,2022-09-14 23:39:26
251,Kiria,41.1,24.2833,70.47,70,37,4.14,GR,2022-09-14 23:44:27
252,Tuatapere,-46.1333,167.6833,50.32,66,57,14.65,NZ,2022-09-14 23:44:27
253,Brownsville,25.9018,-97.4975,84.15,77,0,8.05,US,2022-09-14 23:40:57
254,Kamina,-8.7386,24.9906,69.08,37,78,2.89,CD,2022-09-14 23:44:28
255,Aguimes,27.9054,-15.4461,72.23,73,20,16.11,ES,2022-09-14 23:44:28
256,Auki,-8.7676,160.7034,85.84,63,67,2.98,SB,2022-09-14 23:44:29
257,Thompson,55.7435,-97.8558,55.56,71,100,11.5,CA,2022-09-14 23:44:29
258,Vaitape,-16.5167,-151.75,78.31,71,44,21.63,PF,2022-09-14 23:44:29
259,Lang Son,21.8333,106.7333,75.85,89,26,1.41,VN,2022-09-14 23:44:30
260,Waitati,-45.75,170.5667,55.8,54,1,3.51,NZ,2022-09-14 23:44:30
261,Talara,-4.5772,-81.2719,68.76,68,0,16.11,PE,2022-09-14 23:44:31
262,San Cristobal,7.7669,-72.225,75.38,95,36,2.3,VE,2022-09-14 23:44:31
263,Atar,20.5169,-13.0499,96.28,22,2,14.74,MR,2022-09-14 23:44:32
264,Srandakan,-7.9386,110.2506,77.59,84,98,10.0,ID,2022-09-14 23:44:32
265,Husavik,66.0449,-17.3389,39.43,76,48,0.56,IS,2022-09-14 23:44:32
266,Shahrud,36.4182,54.9763,70.59,34,21,6.8,IR,2022-09-14 23:44:33
267,Sensuntepeque,13.8667,-88.6333,69.04,94,99,2.35,SV,2022-09-14 23:44:33
268,Chabahar,25.2919,60.643,81.09,83,2,1.21,IR,2022-09-14 23:44:34
269,Nicolet,46.2168,-72.6158,61.72,67,100,16.11,CA,2022-09-14 23:44:34
270,Flagstaff,35.1981,-111.6513,71.31,45,20,12.66,US,2022-09-14 23:44:35
271,Olinda,-8.0089,-34.8553,78.53,73,100,5.75,BR,2022-09-14 23:44:22
272,Alyangula,-13.8483,136.4192,82.44,70,5,9.48,AU,2022-09-14 23:45:35
273,Gaspe,48.8334,-64.4819,66.11,94,100,9.22,CA,2022-09-14 23:45:36
274,Leh,34.1667,77.5833,53.64,53,81,3.42,IN,2022-09-14 23:45:36
275,Nueva Loja,0.0847,-76.8828,71.96,98,87,0.78,EC,2022-09-14 23:45:37
276,Oktyabrskiy,54.4815,53.471,58.06,39,100,11.36,RU,2022-09-14 23:44:47
277,Falmouth,50.1544,-5.0711,59.9,82,75,8.05,GB,2022-09-14 23:45:37
278,Pitimbu,-7.4706,-34.8086,75.79,79,47,11.68,BR,2022-09-14 23:45:35
279,Wajima,37.4,136.9,74.08,83,75,4.61,JP,2022-09-14 23:45:38
280,Kijang,35.2442,129.2139,76.73,78,99,17.69,KR,2022-09-14 23:45:38
281,Zaplavnoye,48.7048,45.0229,56.08,71,84,9.17,RU,2022-09-14 23:45:39
282,Ashqelon,31.6693,34.5715,75.09,59,0,5.37,IL,2022-09-14 23:45:39
283,Morro Bay,35.3658,-120.8499,83.39,63,0,8.99,US,2022-09-14 23:41:19
284,Tura,25.5198,90.2201,72.28,99,100,5.17,IN,2022-09-14 23:45:40
285,Coihaique,-45.5752,-72.0662,39.81,100,100,3.44,CL,2022-09-14 23:45:40
286,Clyde River,70.4692,-68.5914,39.43,93,100,4.61,CA,2022-09-14 23:45:41
287,Doha,25.2867,51.5333,89.58,84,3,3.44,QA,2022-09-14 23:45:41
288,Gornopravdinsk,60.05,69.9,48.47,77,100,3.71,RU,2022-09-14 23:45:42
289,Iskateley,67.6803,53.1512,47.17,85,99,9.55,RU,2022-09-14 23:45:42
290,Ussel,45.55,2.3167,54.81,95,41,0.67,FR,2022-09-14 23:45:43
291,Oranjestad,12.524,-70.027,83.52,78,80,21.05,AW,2022-09-14 23:45:43
292,Fethiye,36.6217,29.1164,67.87,42,0,5.61,TR,2022-09-14 23:45:43
293,Coro,11.4045,-69.6734,80.96,81,81,16.04,VE,2022-09-14 23:45:44
294,Cidreira,-30.1811,-50.2056,58.05,93,9,8.37,BR,2022-09-14 23:44:26
295,Marquette,46.5333,-87.6335,52.77,74,87,5.46,US,2022-09-14 23:45:45
296,Shablykino,52.8566,35.1964,47.66,96,100,4.0,RU,2022-09-14 23:45:45
297,Turukhansk,65.8167,87.9833,43.12,98,100,8.41,RU,2022-09-14 23:45:46
298,Maneadero,31.7167,-116.5667,73.09,77,7,3.0,MX,2022-09-14 23:45:46
299,Kamaishi,39.2667,141.8833,69.39,69,21,7.14,JP,2022-09-14 23:45:47
300,Sibolga,1.7427,98.7792,77.18,79,100,2.53,ID,2022-09-14 23:45:47
301,Padang,-0.9492,100.3543,73.45,83,98,3.85,ID,2022-09-14 23:45:47
302,Sao Filipe,14.8961,-24.4956,79.79,82,100,4.85,CV,2022-09-14 23:45:48
303,Ko Samui,9.5357,99.9357,80.51,83,20,4.61,TH,2022-09-14 23:45:48
304,Kendari,-3.945,122.4989,74.7,87,100,3.27,ID,2022-09-14 23:45:48
305,Adrar,20.5022,-10.0711,95.68,19,29,15.21,MR,2022-09-14 23:45:49
306,Zaysan,47.4667,84.8667,43.2,72,60,9.64,KZ,2022-09-14 23:45:49
307,Kruisfontein,-34.0033,24.7314,63.3,34,16,6.69,ZA,2022-09-14 23:45:50
308,Leninskoye,41.7589,69.3864,64.27,18,0,4.03,KZ,2022-09-14 23:45:50
309,Mahebourg,-20.4081,57.7,70.09,78,20,8.05,MU,2022-09-14 23:45:50
310,Vardo,70.3705,31.1107,44.58,76,40,17.27,NO,2022-09-14 23:45:51
311,Evensk,61.95,159.2333,47.16,49,8,1.28,RU,2022-09-14 23:45:51
312,Cutler,25.6151,-80.3106,79.99,92,0,3.44,US,2022-09-14 23:45:52
313,Monrovia,6.3005,-10.7969,76.98,84,100,11.63,LR,2022-09-14 23:43:21
314,Chapais,49.7834,-74.8492,49.78,67,57,13.13,CA,2022-09-14 23:45:52
315,Kavaratti,10.5669,72.642,80.13,78,81,12.26,IN,2022-09-14 23:45:53
316,Jacareacanga,-6.2222,-57.7528,82.49,53,100,3.89,BR,2022-09-14 23:45:53
317,Roma,43.2128,-75.4557,69.94,73,0,9.22,US,2022-09-14 23:45:53
318,Arman,59.7,150.1667,46.02,54,100,3.91,RU,2022-09-14 23:46:54
319,Airai,-8.9266,125.4092,72.46,34,85,4.41,TL,2022-09-14 23:46:54
320,Ushtobe,45.2514,77.9838,46.42,48,1,15.82,KZ,2022-09-14 23:46:55
321,Saldanha,-33.0117,17.9442,51.85,87,58,9.55,ZA,2022-09-14 23:46:55
322,Zhanaozen,43.3,52.8,63.77,61,32,18.3,KZ,2022-09-14 23:46:55
323,Dahra,36.2546,0.8519,72.79,54,100,6.4,DZ,2022-09-14 23:46:56
324,Dingle,10.9995,122.6711,81.3,81,99,9.73,PH,2022-09-14 23:46:56
325,Port Hardy,50.6996,-127.4199,57.38,82,20,6.91,CA,2022-09-14 23:45:34
326,Ribeira Grande,38.5167,-28.7,73.6,81,96,11.68,PT,2022-09-14 23:46:57
327,Kiruna,67.8557,20.2251,38.32,100,100,6.91,SE,2022-09-14 23:46:57
328,Laguna,38.421,-121.4238,82.09,43,0,14.97,US,2022-09-14 23:46:58
329,Cam Ranh,11.9214,109.1591,78.76,83,20,3.44,VN,2022-09-14 23:46:58
330,Killarney,52.05,-9.5167,55.13,89,75,4.23,IE,2022-09-14 23:46:59
331,Zaltan,32.947,11.8665,79.21,70,0,10.63,LY,2022-09-14 23:46:59
332,Oron,4.8256,8.2343,74.55,94,100,2.98,NG,2022-09-14 23:47:00
333,Greenville,35.6127,-77.3663,73.56,73,75,0.0,US,2022-09-14 23:45:32
334,Ferrandina,40.5012,16.4547,68.68,73,37,1.57,IT,2022-09-14 23:47:00
335,Bella Vista,36.4295,-94.2316,83.01,44,0,8.05,US,2022-09-14 23:47:01
336,San Jeronimo,-11.9472,-75.2829,56.28,65,79,4.74,PE,2022-09-14 23:47:01
337,Adoni,15.6333,77.2833,71.69,83,100,11.97,IN,2022-09-14 23:47:02
338,Solnechnyy,50.7214,136.6319,57.24,71,67,4.99,RU,2022-09-14 23:47:02
339,Calabozo,8.9242,-67.4293,78.28,79,75,1.12,VE,2022-09-14 23:47:02
340,Eitorf,50.7667,7.45,61.0,96,99,3.74,DE,2022-09-14 23:47:03
341,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,67,40,2.24,RU,2022-09-14 23:47:03
