City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Oda,JP,80.47,moderate rain,35.1833,132.5,Sky Hotel Oda
407,Barbate,ES,74.26,scattered clouds,36.1924,-5.9219,Hotel Adiafa
424,Niles,US,86.11,broken clouds,42.0189,-87.8028,"Holiday Inn & Suites Chicago North Shore (Skokie), an IHG Hotel"
426,La Asuncion,VE,85.14,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
430,Nakhon Phanom,TH,73.45,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
438,Santa Cruz De La Palma,ES,77.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
444,Belmonte,BR,73.65,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
448,Tabuk,PH,73.13,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
452,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
456,Saint Anthony,US,70.93,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
466,Gemena,CD,70.43,overcast clouds,3.25,19.7667,Hôtel Goshen
473,Eyl,SO,77.67,overcast clouds,7.9803,49.8164,Amiin Hotel
477,Boyolangu,ID,74.35,broken clouds,-8.1181,111.8935,Yos ega cv
478,Russell,US,87.96,clear sky,32.3502,-85.1999,Macs
482,Impfondo,CG,72.01,light rain,1.6381,18.0667,Auberge La Place de Jules
483,Embonas,GR,73.83,clear sky,36.2269,27.8564,Hotel Ataviros
488,Galle,LK,79.47,overcast clouds,6.0367,80.217,Amangalla
489,Frolovo,RU,77.81,overcast clouds,49.7713,43.6622,Gostinitsa Frolovo
490,Damietta,EG,77.22,clear sky,31.4165,31.8133,SULIMAN INN
507,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
509,Bataipora,BR,85.01,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
516,Durg,IN,77.04,moderate rain,21.1833,81.2833,MAITRI HOSTEL
517,Tulum,MX,88.92,clear sky,20.2167,-87.4667,Kin Ha Tulum
520,Burlington,US,86.94,clear sky,39.8835,-74.6413,Delanco Camp
533,Mehriz,IR,79.3,few clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
542,Jieshi,CN,82.6,few clouds,22.8134,115.8257,Yuehai Hotel
545,Martinsville,US,83.48,clear sky,36.6915,-79.8725,Hampton Inn Martinsville
553,Bandarbeyla,SO,77.94,scattered clouds,9.4942,50.8122,JABIR HOTEL
558,Matadi,CD,80.13,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
565,Winnemucca,US,73.45,clear sky,40.973,-117.7357,Winners Inn Casino
566,Sinnamary,GF,85.39,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
588,Awjilah,LY,86.43,clear sky,29.1081,21.2869,المنزل
595,Penalva,BR,89.98,overcast clouds,-3.2942,-45.1736,Hotel Lago Verde
596,Hambantota,LK,79.3,overcast clouds,6.1241,81.1185,Bungalow 63
607,Dourados,BR,84.0,clear sky,-22.2211,-54.8056,Bravo City Hotel Dourados
614,Pasighat,IN,78.22,scattered clouds,28.0667,95.3333,Siang Guest House
621,Totness,SR,85.3,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
628,Marzuq,YE,84.9,overcast clouds,14.4,46.4667,حيد القفلة
639,Bloemfontein,ZA,72.88,overcast clouds,-29.1211,26.214,Protea by Marriott Hotel Bloemfontein
642,California City,US,76.41,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
656,Lengshuitan,CN,81.23,scattered clouds,26.4111,111.5956,Jialong Hotel
662,Betma,IN,72.63,few clouds,22.6833,75.6167,Khandelwal Paradise
665,Rawlins,US,73.29,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
670,Lorengau,PG,80.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
671,El Tocuyo,VE,89.56,few clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
